,CountryISO,AppName,AppID,AppRating,Usage,Platform
0,US,Upside-Cash back on gas & food,com.upside.consumer.android,4.4,Free,Android
1,US,Booking.com: Hotels and more,com.booking,4.6,Free,Android
2,US,"Expedia: Hotels, Flights & Car",com.expedia.bookings,3.7,Free,Android
3,US,Airbnb,com.airbnb.android,4.5,Free,Android
4,US,VrboVacationRentals,,,Free,Android
5,US,AmericanAirlines,,,Free,Android
6,US,GoogleEarth,,,Free,Android
7,US,UnitedAirlines,,,Free,Android
8,US,ArriveCAN,,,Free,Android
9,US,FlyDelta,,,Free,Android
10,US,Hotels.com:TravelBooking,,,Free,Android
11,US,GasBuddy:FindandPayforCheapGasandFuel,,,Free,Android
12,US,"Priceline: Hotel, Flight & Car",com.priceline.android.negotiator,4.7,Free,Android
13,US,Bird—RideElectric,,,Free,Android
14,US,HiltonHonors:BookHotels,,,Free,Android
15,US,Turo - Rent the perfect car,com.relayrides.android.relayrides,4.9,Free,Android
16,US,SpiritAirlines,,,Free,Android
17,US,"Hopper: Hotels, Flights & Cars",com.hopper.mountainview.play,3.9,Free,Android
18,US,Lime-#RideGreen,,,Free,Android
19,US,VeriFLY:FastDigitalIdentity,,,Free,Android
20,US,MyDisneyExperience,,,Free,Android
21,US,Flightradar24FlightTracker,,,Free,Android
22,US,FindmyPhone-FamilyLocator,,,Free,Android
23,US,Amtrak,com.amtrak.rider,4.0,Free,Android
24,US,SpeedwayFuel&SpeedyRewards,,,Free,Android
25,US,Recreation.gov,com.bah.r1smobile,4.8,Free,Android
26,US,Allegiant,com.lixar.allegiant,2.9,Free,Android
27,US,trivago: Compare hotel prices,com.trivago,4.4,Free,Android
28,US,Disneyland®,com.disney.wdpro.dlr,4.3,Free,Android
29,US,AlaskaAirlines-Travel,,,Free,Android
30,US,JetBlue-Book&managetrips,,,Free,Android
31,US,FrontierAirlines,,,Free,Android
32,US,Greyhound:CheapBusTickets,,,Free,Android
33,US,FlightAwareFlightTracker,,,Free,Android
34,US,SixFlags,,,Free,Android
35,US,CarnivalHUB,,,Free,Android
36,US,"CLEAR-Health,travel,sports",,,Free,Android
37,US,RoyalCaribbeanInternational,,,Free,Android
38,US,Viator: Tours & Tickets,com.viator.mobile.android,4.8,Free,Android
39,US,GoogleMapsGo,,,Free,Android
40,US,Spin-ElectricScooters,,,Free,Android
41,US,Rover-DogBoarding&Walking,,,Free,Android
42,US,U-Haul,com.uhaul.android.myuhaul,2.1,Free,Android
43,US,BPme:BP&AmocoGasRewards,,,Free,Android
44,US,"KAYAK:Flights,Hotels&Cars",,,Free,Android
45,US,NationalParkService,,,Free,Android
46,US,UniversalOrlandoResort™TheOfficialApp,,,Free,Android
47,US,GoogleStreetView,,,Free,Android
48,US,Campspot:RV&TentCamping,,,Free,Android
49,US,MobilePassportControl,,,Free,Android
50,US,Hotwire:LastMinuteHotel&Car,,,Free,Android
51,US,WyndhamHotels&Resorts,,,Free,Android
52,US,MGMResorts,,,Free,Android
53,US,"Trip.com:BookFlights,Hotels",,,Free,Android
54,US,GetYourGuide:Tours&tickets,,,Free,Android
55,US,ChoiceHotels,,,Free,Android
56,US,IHGHotels&Rewards,,,Free,Android
57,US,Tripadvisor:Plan&BookTrips,,,Free,Android
58,US,TheDyrt:Tent&RVCamping,,,Free,Android
59,US,"Fever: discover local events, book tickets & enjoy",com.feverup.fever,4.8,Free,Android
60,US,HertzCarRental,,,Free,Android
61,US,NavigationforGoogleMapsGo,,,Free,Android
62,US,EnterpriseCarRental,,,Free,Android
63,US,"Wag!-5-StarDogWalking,Sitters&PetCare",,,Free,Android
64,US,FlixBus:BookCheapBusTickets,,,Free,Android
65,US,Veo-SharedElectricVehicles,,,Free,Android
66,US,UniversalHollywood™App,,,Free,Android
